Date : 2025-08-29 13:34:23
Directory : d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason
Total : 90 files,  6589 codes, 1967 comments, 1310 blanks, all 9866 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| Java            |         72 |      5,403 |      1,915 |      1,249 |      8,567 |
| JSON            |         12 |        997 |          0 |          4 |      1,001 |
| Groovy          |          2 |        118 |         20 |         31 |        169 |
| Batch           |          1 |         41 |         32 |         22 |         95 |
| Markdown        |          2 |         23 |          0 |          3 |         26 |
| Java Properties |          1 |          7 |          0 |          1 |          8 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                   | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                      |         90 |      6,589 |      1,967 |      1,310 |      9,866 |
| . (Files)                                                                                                                                                              |          8 |        296 |         52 |         59 |        407 |
| .wpilib                                                                                                                                                                |          1 |          6 |          0 |          0 |          6 |
| gradle                                                                                                                                                                 |          1 |          7 |          0 |          1 |          8 |
| gradle\wrapper                                                                                                                                                         |          1 |          7 |          0 |          1 |          8 |
| src                                                                                                                                                                    |         72 |      5,403 |      1,915 |      1,249 |      8,567 |
| src\main                                                                                                                                                               |         72 |      5,403 |      1,915 |      1,249 |      8,567 |
| src\main\java                                                                                                                                                          |         72 |      5,403 |      1,915 |      1,249 |      8,567 |
| src\main\java\frc                                                                                                                                                      |         72 |      5,403 |      1,915 |      1,249 |      8,567 |
| src\main\java\frc\minolib                                                                                                                                              |         56 |      4,122 |      1,336 |        997 |      6,455 |
| src\main\java\frc\minolib\advantagekit                                                                                                                                 |          3 |        113 |         83 |         26 |        222 |
| src\main\java\frc\minolib\hardware                                                                                                                                     |          6 |      1,208 |        289 |        291 |      1,788 |
| src\main\java\frc\minolib\io                                                                                                                                           |          6 |         92 |          8 |         29 |        129 |
| src\main\java\frc\minolib\localization                                                                                                                                 |          3 |        356 |        158 |         69 |        583 |
| src\main\java\frc\minolib\math                                                                                                                                         |          7 |        299 |        182 |         79 |        560 |
| src\main\java\frc\minolib\phoenix                                                                                                                                      |          7 |        342 |        117 |        109 |        568 |
| src\main\java\frc\minolib\rev                                                                                                                                          |          4 |         76 |         28 |         43 |        147 |
| src\main\java\frc\minolib\swerve                                                                                                                                       |          9 |      1,101 |        328 |        223 |      1,652 |
| src\main\java\frc\minolib\vision                                                                                                                                       |          7 |        361 |        113 |         78 |        552 |
| src\main\java\frc\minolib\wpilib                                                                                                                                       |          4 |        174 |         30 |         50 |        254 |
| src\main\java\frc\robot                                                                                                                                                |         16 |      1,281 |        579 |        252 |      2,112 |
| src\main\java\frc\robot (Files)                                                                                                                                        |          3 |        183 |         15 |         48 |        246 |
| src\main\java\frc\robot\command_factories                                                                                                                              |          1 |         42 |          6 |          9 |         57 |
| src\main\java\frc\robot\constants                                                                                                                                      |          5 |        365 |        388 |         79 |        832 |
| src\main\java\frc\robot\subsystems                                                                                                                                     |          4 |        389 |        167 |         83 |        639 |
| src\main\java\frc\robot\subsystems (Files)                                                                                                                             |          3 |        135 |          0 |         23 |        158 |
| src\main\java\frc\robot\subsystems\drivetrain                                                                                                                          |          1 |        254 |        167 |         60 |        481 |
| src\main\java\frc\robot\utilities                                                                                                                                      |          3 |        302 |          3 |         33 |        338 |
| vendordeps                                                                                                                                                             |          8 |        877 |          0 |          1 |        878 |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| filename                                                                                                                                                               | language        | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\.wpilib\wpilib_preferences.json                                            | JSON            |          6 |          0 |          0 |          6 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\README.md                                                                  | Markdown        |          1 |          0 |          0 |          1 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\WPILib-License.md                                                          | Markdown        |         22 |          0 |          3 |         25 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\build.gradle                                                               | Groovy          |         90 |         20 |         28 |        138 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\gradle\wrapper\gradle-wrapper.properties                                   | Java Properties |          7 |          0 |          1 |          8 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\gradlew.bat                                                                | Batch           |         41 |         32 |         22 |         95 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\networktables.json                                                         | JSON            |          1 |          0 |          1 |          2 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\settings.gradle                                                            | Groovy          |         28 |          0 |          3 |         31 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\simgui-ds.json                                                             | JSON            |         98 |          0 |          1 |         99 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\simgui.json                                                                | JSON            |         15 |          0 |          1 |         16 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\advantagekit\AlertManager.java                   | Java            |         18 |         14 |          7 |         39 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\advantagekit\LoggerHelper.java                   | Java            |         17 |          7 |          3 |         27 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\advantagekit\NTManager.java                      | Java            |         78 |         62 |         16 |        156 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\hardware\CANDeviceID.java                        | Java            |         20 |         21 |          8 |         49 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\hardware\MinoCANBus.java                         | Java            |         30 |         33 |          9 |         72 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\hardware\MinoCANCoder.java                       | Java            |        141 |         76 |         38 |        255 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\hardware\MinoPigeon2.java                        | Java            |        184 |        121 |         50 |        355 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\hardware\MinoSparkMax.java                       | Java            |        297 |         18 |         73 |        388 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\hardware\MinoTalonFX.java                        | Java            |        536 |         20 |        113 |        669 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\io\AbsoluteEncoderInputs.java                    | Java            |         12 |          0 |          4 |         16 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\io\CANBusIO.java                                 | Java            |         15 |          0 |          4 |         19 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\io\CANRangeIO.java                               | Java            |         22 |          8 |         12 |         42 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\io\DigitalDeviceInputs.java                      | Java            |          6 |          0 |          3 |          9 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\io\GyroInputs.java                               | Java            |         15 |          0 |          3 |         18 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\io\MotorInputs.java                              | Java            |         22 |          0 |          3 |         25 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\localization\Measurement.java                    | Java            |         55 |         52 |         12 |        119 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\localization\MinoSwerveLocalizer.java            | Java            |        284 |        101 |         52 |        437 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\localization\SwerveDriveOdometryMeasurement.java | Java            |         17 |          5 |          5 |         27 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\math\DoubleInterpolatableTreeMap.java            | Java            |         38 |          2 |         14 |         54 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\math\EqualsUtility.java                          | Java            |         23 |          1 |          5 |         29 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\math\FieldSpeeds.java                            | Java            |         18 |         11 |          6 |         35 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\math\GeometryUtility.java                        | Java            |         60 |         94 |         17 |        171 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\math\Interpolatable.java                         | Java            |         45 |          5 |          8 |         58 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\math\InterpolateableChassisSpeeds.java           | Java            |         24 |          0 |          5 |         29 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\math\MathUtility.java                            | Java            |         91 |         69 |         24 |        184 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\phoenix\MechanismRatio.java                      | Java            |         31 |         45 |         10 |         86 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\phoenix\MinoStatusSignal.java                    | Java            |         48 |          6 |         15 |         69 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\phoenix\PIDConfiguration.java                    | Java            |         58 |         22 |          8 |         88 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\phoenix\PhoenixEncoder.java                      | Java            |          9 |          6 |          6 |         21 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\phoenix\PhoenixGyro.java                         | Java            |         12 |          9 |         10 |         31 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\phoenix\PhoenixMotor.java                        | Java            |         27 |         24 |         25 |         76 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\phoenix\PhoenixUtility.java                      | Java            |        157 |          5 |         35 |        197 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\rev\ClosedLoopConfiguration.java                 | Java            |         37 |          0 |          9 |         46 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\rev\REVAboluteEncoder.java                       | Java            |          3 |          0 |          3 |          6 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\rev\REVAbsoluteEncoder.java                      | Java            |          8 |          5 |          5 |         18 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\rev\REVMotorController.java                      | Java            |         28 |         23 |         26 |         77 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\swerve\MinoSwerve.java                           | Java            |        404 |         76 |         65 |        545 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\swerve\MinoSwerveController.java                 | Java            |         51 |         43 |         11 |        105 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\swerve\MinoSwerveDriveSimulation.java            | Java            |         70 |         31 |         21 |        122 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\swerve\MinoSwerveModule.java                     | Java            |        145 |         10 |         31 |        186 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\swerve\MinoSwerveModuleFactory.java              | Java            |         39 |          0 |          6 |         45 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\swerve\MinoSwerveModuleSetpointGenerator.java    | Java            |        111 |         30 |         26 |        167 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\swerve\MinoSwerveTeleopControl.java              | Java            |         71 |         31 |         16 |        118 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\swerve\SwerveSetpoint.java                       | Java            |         19 |          0 |          5 |         24 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\swerve\SwerveSetpointGenerator.java              | Java            |        191 |        107 |         42 |        340 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\vision\CameraInfo.java                           | Java            |         28 |         33 |          8 |         69 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\vision\CameraInfoStruct.java                     | Java            |        106 |         47 |         11 |        164 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\vision\MinoVisionCamera.java                     | Java            |         20 |          6 |         12 |         38 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\vision\MinoVisionSimulation.java                 | Java            |         40 |          0 |          9 |         49 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\vision\PhotonVisionCamera.java                   | Java            |        120 |          5 |         28 |        153 |
